path,filename,width,height,bytes,format,mode,sha256,references,reference_count
about-image.jpg,about-image.jpg,1200,1500,412215,JPEG,RGB,e20e7e365493597e2381fb3831547c63c494d6dca651fbfbbf7aa52370ca8c33,,0
about-image.png,about-image.png,1122,1402,2517986,PNG,RGB,8c29da2aeafcab1361ada13b2eabf49f19acdaa3e6928b18aa15da71ce0a727d,about.html | sitemap-images.xml | ja/about.html,3
android-chrome-192x192.png,android-chrome-192x192.png,192,192,41769,PNG,RGBA,bfeb394f10551931e9f43ba9c2414ecce60db943c34564c56cba754139d43583,,0
android-chrome-512x512.png,android-chrome-512x512.png,512,512,227983,PNG,RGBA,2fca2c5ec2ee701bb617a2222a89f7ea1677698f6cd338733b70f313917979a3,,0
apple-touch-icon.png,apple-touch-icon.png,180,180,37001,PNG,RGBA,bb704b2e72baa346cfb61257e16ffd536c5c430422a6d805369c0cf7eabf64cc,service-standards.html | englishire-standard.html | about.html | cookies.html | journal.html | index.html | terms.html | questions.html | teacher-cover.html | HEAD-INTEGRATION.html | thank-you.html | contact.html | privacy.html | how-it-works.html | ja/service-standards.html | ja/englishire-standard.html | ja/about.html | ja/cookies.html | ja/index.html | ja/terms.html | ja/questions.html | ja/teacher-cover.html | ja/thank-you.html | ja/contact.html | ja/privacy.html | ja/how-it-works.html,26
asset-preview.png,asset-preview.png,1400,800,206513,PNG,RGB,703a470b22c3ef5ec0f618688970e5e503e7662d6c83c5c3ccec414bd8cf3c04,,0
backup-teacher-eikaiwa.png,backup-teacher-eikaiwa.png,1672,941,2697664,PNG,RGB,868de6a5ea5b5fcecdd03cc89af6faea6673444206cc4838b44d4b86664f6502,feed.xml | sitemap-images.xml | feed.json,3
easy-teacher-article.png,easy-teacher-article.png,1586,992,2227269,PNG,RGB,50fd36eac7f4b55d4f4c895d14402e4a916f1f4fe7153c2b05bab55205330aaa,feed.xml | sitemap-images.xml | feed.json,3
eikaiwa-school-operations.png,eikaiwa-school-operations.png,1672,941,2306320,PNG,RGB,461afd34aa4446cecdfbe63b79a5e627c6d63f7e5cdf2209a12047588c74a495,feed.xml | sitemap-images.xml | feed.json,3
emergency-classroom-coverage.png,emergency-classroom-coverage.png,1672,941,2813115,PNG,RGB,67761463a6f4476c16f9255d92525126e6c10e055b6eaa78929060ffbf9954a2,feed.xml | sitemap-images.xml | feed.json,3
englishire-404-desk.png,englishire-404-desk.png,1122,1402,3464805,PNG,RGB,7d4861f338d1014ddb95e483bfc4a5247ea12c32f911db2972ea47e4fcc3e301,404.html,1
englishire-classroom-hero.png,englishire-classroom-hero.png,1023,1537,2224091,PNG,RGB,ff45c65a968bc5fe8d6567cc21c95747acdab71dfb477b658a49c23e39ebbef5,index.html | sitemap-images.xml | ja/index.html,3
englishire-cookies-desk.png,englishire-cookies-desk.png,1122,1402,2421816,PNG,RGB,4d32ba74141dbbe0fafbc1af2eabf3ed406fcc77dbc6c3e268a2d892e1cc4142,cookies.html | sitemap-images.xml | ja/cookies.html,3
englishire-logo-master.webp,englishire-logo-master.webp,1024,1024,195564,WEBP,RGBA,97dddda491b6aa1f2d6059d741988c3d0e3d8d65667450466db4f98e1a6883b3,index.html | ja/index.html,2
englishire-logo.png,englishire-logo.png,1327,380,325075,PNG,RGBA,e699725b2d380c4d4edd5bc9a54b4b445b9020cecee743f73b9e2deb27c75945,service-standards.html | about.html | cookies.html | accessibility.html | journal.html | index.html | terms.html | questions.html | teacher-cover.html | HEADER-INTEGRATION.html | editorial-policy.html | thank-you.html | contact.html | privacy.html | script.js | how-it-works.html | permissions.html | ja/service-standards.html | ja/about.html | ja/cookies.html | ja/accessibility.html | ja/index.html | ja/terms.html | ja/questions.html | ja/teacher-cover.html | ja/editorial-policy.html | ja/thank-you.html | ja/contact.html | ja/privacy.html | ja/how-it-works.html | ja/permissions.html,31
englishire-privacy-desk.png,englishire-privacy-desk.png,1122,1402,2660370,PNG,RGB,8c7e1800442aa1c56f17ecb4889160f0a727dcf8df7cc3550dabd29726a15d30,sitemap-images.xml | privacy.html | ja/privacy.html,3
englishire-questions-desk.jpg,englishire-questions-desk.jpg,1200,1500,359922,JPEG,RGB,333dd3339c4b0b17de1c4253b3ed243348ff869fb3aa625d3c0a72424f75280e,questions.html | sitemap-images.xml | ja/questions.html,3
englishire-social-preview.jpg,englishire-social-preview.jpg,1200,630,68225,JPEG,RGB,f23bd096adbf2cd2630d63fc84846161cbb0126a78c44c0637915098f9523c55,englishire-standard.html | about.html | cookies.html | index.html | terms.html | questions.html | teacher-cover.html | HEAD-INTEGRATION.html | contact.html | privacy.html | how-it-works.html | 404.html | ja/englishire-standard.html | ja/about.html | ja/cookies.html | ja/index.html | ja/terms.html | ja/questions.html | ja/teacher-cover.html | ja/contact.html | ja/privacy.html | ja/how-it-works.html,22
englishire-temp-hero.png,englishire-temp-hero.png,1122,1402,1946339,PNG,RGB,2f464e793c7c3e6d481ce22b8a5ca7ffc2bdf17e5ee9037e914cd200127e612f,teacher-cover.html | sitemap-images.xml | ja/teacher-cover.html,3
favicon-16x16.png,favicon-16x16.png,16,16,667,PNG,RGBA,715033040991a0eca650c533c907c2a22cb32777ba0a79fa66b81badcbdcce5f,about.html | index.html | questions.html | teacher-cover.html | HEAD-INTEGRATION.html | contact.html | how-it-works.html | ja/about.html | ja/index.html | ja/questions.html | ja/teacher-cover.html | ja/contact.html | ja/how-it-works.html,13
favicon-32x32.png,favicon-32x32.png,32,32,1791,PNG,RGBA,47792670b88e6aa34ca8af7a5a5a8726274ab2c4f15d3359dc8805ce9c12e252,about.html | journal.html | index.html | questions.html | teacher-cover.html | HEAD-INTEGRATION.html | contact.html | how-it-works.html | ja/about.html | ja/index.html | ja/questions.html | ja/teacher-cover.html | ja/contact.html | ja/how-it-works.html,14
favicon-48x48.png,favicon-48x48.png,48,48,3595,PNG,RGBA,4f34b7317cfcbdd4aa41ee6382aa410ff046411d5ea2b5d9b5be3100ef8aa1a4,,0
favicon.ico,favicon.ico,256,256,104509,ICO,RGBA,c8327ab561766f7029514a85e358b2be2a0e5d2e2a95469a5f409f2f7da4b238,service-standards.html | englishire-standard.html | about.html | cookies.html | accessibility.html | journal.html | index.html | terms.html | questions.html | teacher-cover.html | HEAD-INTEGRATION.html | editorial-policy.html | thank-you.html | contact.html | privacy.html | how-it-works.html | permissions.html | ja/service-standards.html | ja/englishire-standard.html | ja/about.html | ja/cookies.html | ja/accessibility.html | ja/index.html | ja/terms.html | ja/questions.html | ja/teacher-cover.html | ja/editorial-policy.html | ja/thank-you.html | ja/contact.html | ja/privacy.html | ja/how-it-works.html | ja/permissions.html,32
hiring-foreign-teachers-in-japan.png,hiring-foreign-teachers-in-japan.png,1672,941,2096436,PNG,RGB,9e94f0a6ee93d02bd8cc348a6e85f84fa575b2c68fc8211ff3e3e17787075d64,index.html | feed.xml | sitemap-images.xml | feed.json,4
how-it-works.png,how-it-works.png,1495,1052,2406515,PNG,RGB,4ea0b837d1975a020cb49360fd3ccda288359407636626dfb6900c41d78688d9,sitemap-images.xml | style.css | how-it-works.html | ja/how-it-works.html,4
how-schools-can-handle-staff-shortages.png,how-schools-can-handle-staff-shortages.png,1672,941,2515216,PNG,RGB,d625066c4b55539d8f6969149e0d67d09a1f2cbc18feed9d181eb5644b666f10,feed.xml | sitemap-images.xml | feed.json,3
journal-easy-teacher.png,journal-easy-teacher.png,1586,992,2610935,PNG,RGB,a2a0923fdf46707ddecefc29db365998a726d918e85f8d0e62c76e15ab333f60,,0
media-rushed-recruitment.png,media-rushed-recruitment.png,1448,1086,2170333,PNG,RGB,eadb5c27fc7f7fc61546676c2eea1b944868960ec5918753c5561cb1ab516612,index.html | ja/index.html,2
media-school-collapse.png,media-school-collapse.png,1448,1086,1945955,PNG,RGB,4357d6678adf2c3dc8202c0809191a3582064fc8ea6b2b098b2da220a037de7c,ja/index.html,1
