page	index	kind	element	english	japanese
index.html	1	text	[document]	html	html
index.html	2	text	title	Temporary English Teacher Cover in Tokyo | Englishire	東京の学校向け英語講師の代講・短期手配 | Englishire
index.html	3	text	a	Skip to main content	本文へ移動
index.html	4	text	span	Menu	メニュー
index.html	5	text	a	Teacher Cover	講師の代講・短期手配
index.html	6	text	a	When We Help	対応できるケース
index.html	7	text	a	How It Works	ご利用の流れ
index.html	8	text	a	Journal	Journal
index.html	9	text	a	About	Englishireについて
index.html	10	text	a	Request Teacher Cover	代講について相談する
index.html	11	text	p	Established in Tokyo to Support Schools When They Need It Most	学校が最も支援を必要とするときに応えるため、東京で始まりました
index.html	12	text	h1	Temporary English teacher cover for schools across Tokyo.	東京都内の学校向けに、英語講師の代講・短期手配を行います。
index.html	13	text	p	Thoughtfully matched, properly briefed and arranged around the school day.	学校の一日の流れに合わせ、適任性を見極め、必要な事前説明を行ったうえで手配します。
index.html	14	text	p	Englishire supports schools facing staff absence, recruitment gaps, timetable changes and additional demand. Tell us what the school needs, and we will review the timetable, location, learners and teaching responsibilities before confirming what can be provided.	Englishireは、講師の欠勤、採用までの空白期間、時間割の変更、授業数の増加などに直面する学校を支援します。学校が必要としている内容をお知らせください。時間割、所在地、学習者、担当する授業や業務を確認したうえで、対応できる内容をお伝えします。
index.html	15	text	a	Request Teacher Cover	代講について相談する
index.html	16	text	a	See How It Works	ご利用の流れを見る
index.html	17	text	a	Read About Teacher Cover	講師の代講・短期手配について見る
index.html	18	text	strong	One day or longer	1日から長期間まで
index.html	19	text	span	Cover may be brief, recurring or extended.	1日だけの代講、毎週の定期的な代講、長期の短期手配に対応します。
index.html	20	text	strong	Tokyo realities considered	東京での実務条件を確認
index.html	21	text	span	Travel, reporting times, learners and teaching environments considered together.	移動経路、到着時刻、学習者、授業環境をまとめて確認します。
index.html	22	text	strong	Properly reviewed	内容を確認してから確定
index.html	23	text	span	No assignment is promised before its requirements are understood.	必要事項を把握する前に、ご依頼を確約することはありません。
index.html	24	text	figcaption	A teacher leads a classroom lesson. The image reflects Englishire’s purpose: to preserve the rhythm of the school day when the usual teacher cannot be there.	講師が教室で授業を進めています。いつもの講師が不在でも、学校の一日の流れを保つというEnglishireの目的を表す写真です。
index.html	25	text	p	Why Temporary Cover Matters	なぜ短期の代講が必要なのか
index.html	26	text	h2	Keep the school day moving while the longer-term staffing need is resolved.	長期的な人員課題を検討している間も、学校の一日を止めないために。
index.html	27	text	p	A teacher becomes unwell. A new appointment takes rather longer than expected. A timetable expands before permanent staffing is ready. The pupils still arrive, parents still expect a proper lesson and the school must still conduct its day with composure.	講師が体調を崩すことがあります。新しい講師の採用が予定より長引くこともあります。常勤体制が整う前に授業数が増えることもあります。それでも生徒は登校し、保護者は通常どおりの授業を期待し、学校は落ち着いて一日を運営しなければなりません。
index.html	28	text	p	Englishire gives schools time to address the longer-term staffing need carefully, without treating tomorrow's lesson as an excuse for a hurried permanent decision.	Englishireの短期手配は、明日の授業を理由に常勤採用を急ぐのではなく、学校が長期的な人員体制を慎重に検討するための時間を確保します。
index.html	29	text	p	Temporary cover should relieve pressure without lowering standards.	短期の代講は、教育の質を下げずに学校の負担を軽減するものであるべきです。
index.html	30	text	p	When Englishire Steps In	Englishireが支援する場面
index.html	31	text	h2	Staffing difficulties seldom arrive at a convenient hour.	人員の問題は、都合のよいタイミングで起こるとは限りません。
index.html	32	text	p	Englishire assists when absence, delay or changing demand disrupts a carefully arranged timetable.	欠勤、採用の遅れ、授業需要の変化によって組まれた時間割に支障が出るとき、Englishireが支援します。
index.html	33	text	p	01	01
index.html	34	text	h3	Unexpected Absence	突然の欠勤
index.html	35	text	p	A member of staff is unavailable and the first lesson is already approaching.	担当講師が出勤できず、最初の授業が迫っている場合。
index.html	36	text	p	Urgent circumstances may be considered without pretending that urgency removes the need for judgement.	急ぎのご相談にも対応を検討しますが、緊急であっても必要な確認と判断は省きません。
index.html	37	text	p	02	02
index.html	38	text	h3	Between Appointments	採用の切り替え期間
index.html	39	text	p	The previous teacher has departed and the right permanent appointment has not yet been made.	前任講師が退職し、適切な常勤講師の採用がまだ決まっていない場合。
index.html	40	text	p	Temporary cover gives the school room to recruit carefully rather than appoint merely because Monday is approaching.	短期の代講を利用することで、週明けが迫っているという理由だけで採用を急がず、適切な候補者を慎重に選ぶ時間を確保できます。
index.html	41	text	p	03	03
index.html	42	text	h3	Additional Capacity	授業数の増加への対応
index.html	43	text	p	New classes, seasonal programmes or timetable changes have created more teaching hours than expected.	新しいクラス、季節講座、時間割の変更により、想定より多くの授業時間が必要になった場合。
index.html	44	text	p	Temporary support allows the school to decide whether the demand is seasonal, developing or permanent.	短期の支援を利用しながら、その需要が季節的なものか、増加途中なのか、恒常的なものかを学校が見極められます。
index.html	45	text	p	04	04
index.html	46	text	h3	Trials, Events and Limited Programmes	体験授業・イベント・期間限定講座
index.html	47	text	p	A school may require a teacher for a demonstration lesson, event, intensive course or other defined period.	体験授業、イベント、集中講座など、期間を限定して講師が必要になる場合。
index.html	48	text	p	Not every short requirement should become a permanent recruitment exercise.	短期間の必要に対して、必ずしも常勤採用を行う必要はありません。
index.html	49	text	a	Read About Every Cover Situation	代講を利用できる場面を見る
index.html	50	text	p	Designed Around the Actual School	実際の学校運営に合わせた手配
index.html	51	text	h2	The assignment must be understood before it is accepted.	ご依頼を引き受ける前に、内容を正確に把握します。
index.html	52	text	p	Every school has its own rhythm. Before confirmation, Englishire considers the timetable, learner ages, class format, lesson expectations, location, travel and the standards by which the school conducts itself.	学校ごとに、一日の流れや授業の進め方は異なります。確定前に、時間割、学習者の年齢、クラス形式、授業内容、所在地、移動条件、学校の運営方針を確認します。
index.html	53	text	p	The object is not to send whoever happens to be free. It is to provide sensible temporary support for the classroom the school actually runs.	たまたま予定が空いている講師を送ることが目的ではありません。学校が実際に行っている授業に合った、適切な短期支援を提供することが目的です。
index.html	54	text	dt	Possible duration	対応期間
